serial_key^key^publisher^isbn
97^books/aw/Knuth73^Addison-Wesley^0-201-03803-X
99^books/aw/Knuth81^Addison-Wesley^0-201-03822-6
100^books/aw/Knuth86^Addison-Wesley^0-201-13447-0
101^books/aw/Knuth86a^Addison-Wesley^0-201-13437-3
103^books/aw/Lamport86^Addison-Wesley^0-201-15790-X
104^books/aw/LewisBK01^Addison-Wesley^0-201-70872-8
105^books/aw/LindholmY97^Addison-Wesley^0-201-63452-X
106^books/aw/Lippman96^Addison-Wesley^0-201-83454-5
108^books/aw/MannilaR92^Addison-Wesley^0-201-56523-4
109^books/aw/Ousterhout94^Addison-Wesley^0-201-63337-X
110^books/aw/PlasmeijerE93^Addison-Wesley^0-201-41663-8
111^books/aw/RabinovichS01^Addison-Wesley^0-201-61570-3
113^books/aw/Ross89^Addison-Wesley^0-201-17527-4
114^books/aw/Salton89^Addison-Wesley^0-201-12227-8
116^books/aw/Sedgewick83^Addison-Wesley^0-201-06672-6
117^books/aw/Sedgewick88^Addison-Wesley^0-201-06673-4
118^books/aw/SilberschatzG94^Addison-Wesley^0-201-50480-4
120^books/aw/Sowa84^Addison-Wesley^0-201-14472-7
123^books/aw/Stevens92^Addison-Wesley^0-201-56317-7
124^books/aw/Stevens94^Addison-Wesley^0-201-63346-9
125^books/aw/Stevens96^Addison-Wesley^0-201-63495-3
127^books/aw/Stroustrup86^Addison-Wesley^0-201-12078-X
128^books/aw/Stroustrup91^Addison-Wesley^0-201-53992-6
133^books/aw/WeigendG94^Addison-Wesley^0-201-62601-2
134^books/aw/WilsonK00^Addison-Wesley^0-201-70969-4
135^books/aw/Wolfe96^Addison-Wesley^0-8053-2730-4
136^books/aw/WrightS95^Addison-Wesley^0-201-63354-X
172^books/bc/AtzeniA93^Benjamin/Cummings^0-8053-0249-2
173^books/bc/BatiniCN92^Benjamin/Cummings^0-8053-0244-1
177^books/bc/FischerL1991^Benjamin/Cummings^0-8053-2166-7
178^books/bc/KumarGGK94^Benjamin/Cummings^0-8053-3170-0
179^books/bc/MaierW88^Benjamin/Cummings^0-8053-6681-4
204^books/bi/AlbertO1983^Bibliographisches Institut^3-411-01651-5
205^books/bi/Everling1990^Bibliographisches Institut^3-411-14251-0
206^books/bi/Everling1993^Bibliographisches Institut^3-411-14252-9
207^books/bi/Fellner1988^Bibliographisches Institut^3-411-03179-4
208^books/bi/Fellner1992^Bibliographisches Institut^3-411-15122-6
209^books/bi/Hertzberg1989^Bibliographisches Institut^3-411-03223-5
210^books/bi/Horster1985^Bibliographisches Institut^3-411-03106-9
211^books/bi/KandziaK1993^Bibliographisches Institut^3-411-14891-8
212^books/bi/Kauffels1987^Bibliographisches Institut^3-411-03149-2
213^books/bi/KeimP1992^Bibliographisches Institut^3-411-15701-1
214^books/bi/Kelter1985^Bibliographisches Institut^3-411-03123-9
215^books/bi/Maier1986^Bibliographisches Institut^3-411-03139-5
216^books/bi/Mock1990^Bibliographisches Institut^3-411-14581-1
217^books/bi/OttmannW1990^Bibliographisches Institut^3-411-03161-1
218^books/bi/OttmannW1993^Bibliographisches Institut^3-411-16602-9
219^books/bi/Schefe1986^Bibliographisches Institut^3-411-03140-9
220^books/bi/Schneider1993^Bibliographisches Institut^3-411-16531-6
221^books/bi/Schoning1987^Bibliographisches Institut^3-411-03164-6
222^books/bi/Schoning1989^Bibliographisches Institut^3-411-14012-7
223^books/bi/Schoning1992^Bibliographisches Institut^3-411-14013-5
224^books/bi/Stetter1984^Bibliographisches Institut^3-411-01698-1
225^books/bi/Stetter1987^Bibliographisches Institut^3-411-03162-X
226^books/bi/WallerH1985^Bibliographisches Institut^3-411-03108-5
227^books/bi/Wedekind1992^Bibliographisches Institut^3-411-15551-5
